code,name,pressed,bounced
68,f10,30,0
29,ctrl,7024,44
42,skift,4990,27
51,",",595,0
31,s,4065,1
45,x,728,0
28,enter,3784,5
53,-,355,0
14,backspace,5384,4
79,end,1325,37
75,venstre pil,2417,8
82,0,230,1
3,2,321,0
54,right shift,779,0
80,pil ned,1565,5
77,højre pil,2230,7
57,space,9746,6
61,f3,69,0
21,Y,1218,0
30,A,4571,0
72,8,1399,0
46,c,3465,43
38,l,1984,0
23,i,3838,0
20,t,4493,56
35,h,2133,0
15,tab,1323,4
71,home,915,0
83,delete,1207,0
48,b,777,0
24,o,3930,1
49,n,3239,0
18,e,5528,2
52,:,1352,9
22,u,1768,0
33,f,1315,0
4,#,114,0
19,r,2880,1
541,alt gr,103,0
13,|,9,0
76,5,83,0
6,%,39,0
2,1,270,0
50,m,1277,0
47,v,2288,4
74,-,16,0
5,4,9,0
11,0,150,1
17,w,1530,2
56,alt,553,18
32,d,2531,6
37,k,706,0
25,p,831,0
86,<,37,0
91,venstre windows,212,0
44,z,364,0
34,g,965,0
73,9,49,0
43,',315,0
12,?,326,0
81,3,66,1
36,j,134,0
9,[,107,0
10,],67,0
1,esc,108,5
60,f2,20,0
8,/,39,0
39,æ,18,0
16,q,42,0
40,ø,12,0
7,&,7,0
26,å,25,0
63,f5,12,0
78,+,50,0
67,f9,5,0
59,f1,12,0
55,*,46,0
41,½,2,0
62,f4,2,0
108,f21,1,0
84,print screen,3,0
69,num lock,7,0
88,f12,7,0
101,f14,2,0
93,program,4,0
27,¨,2,0
58,caps lock,4,0
102,f15,1,0
100,f13,2,0
106,f19,1,0
